'HH:MM:SS.SSS', 'HR(%)', 'T1(C)', 'P(hPa)','T2(C)'
12:06:01.429,79.39,17.83,1008.93,17.83
12:06:02.454,79.06,18,1008.93,17.85
12:06:03.489,79.03,18,1008.96,17.87
12:06:04.516,79.05,18.07,1008.95,17.89
12:06:05.548,78.99,18.09,1008.88,17.89
12:06:06.530,78.87,18.09,1008.91,17.89
12:06:07.563,78.51,18.12,1008.82,17.9
12:06:08.591,77.3,18.1,1008.85,17.89
12:06:09.623,76.61,18.1,1008.94,17.88
12:06:10.655,76.17,18.1,1008.91,17.9
12:06:11.687,76.17,18.07,1008.92,17.91
12:06:12.669,76.05,18.1,1008.9,17.91
12:06:13.703,75.95,18.1,1008.94,17.92
12:06:14.735,76,18.09,1008.93,17.92
12:06:15.768,75.8,18.09,1008.92,17.93
12:06:16.794,75.69,18.09,1008.93,17.93
12:06:17.824,75.81,18.12,1008.92,17.95
12:06:18.810,75.59,18.1,1008.95,17.94
12:06:19.843,75.56,18.14,1008.89,17.94
12:06:20.874,75.51,18.18,1008.9,17.95
12:06:21.906,75.48,18.14,1008.91,17.96
12:06:22.934,75.42,18.18,1008.9,17.96
12:06:23.917,75.27,18.16,1008.89,17.95
12:06:24.977,75.23,18.12,1008.92,17.96
12:06:26.005,75.12,18.18,1008.93,17.98
12:06:26.999,75.11,18.18,1008.93,17.98
12:06:28.030,74.94,18.16,1008.92,17.98
12:06:29.059,74.86,18.19,1008.91,17.98
12:06:30.090,74.92,18.12,1008.92,17.97
12:06:31.116,74.78,18.16,1008.92,17.99
12:06:32.142,74.86,18.19,1008.94,17.98
12:06:33.172,74.7,18.18,1008.88,17.99
12:06:34.153,74.71,18.16,1008.95,17.99
12:06:35.183,74.64,18.14,1008.94,17.99
12:06:36.213,74.55,18.19,1008.93,17.99
12:06:37.246,74.44,18.21,1008.89,18
12:06:38.270,74.36,18.18,1008.94,18
12:06:39.301,74.34,18.18,1008.92,17.99
12:06:40.326,74.25,18.14,1008.89,17.98
12:06:41.311,74.19,18.19,1008.91,17.99
12:06:42.344,74.26,18.16,1008.91,17.99
12:06:43.373,74.16,18.19,1008.93,17.98
12:06:44.401,74.16,18.16,1008.9,17.97
12:06:45.430,74.11,18.18,1008.93,17.97
12:06:46.459,74.03,18.16,1008.91,17.99
12:06:47.487,73.95,18.14,1008.97,17.98
12:06:48.468,73.96,18.18,1008.91,17.97
12:06:49.496,73.98,18.18,1008.92,17.95
12:06:50.529,73.95,18.18,1008.93,17.95
12:06:51.558,73.9,18.14,1008.95,17.94
12:06:52.585,73.91,18.16,1008.88,17.96
12:06:53.614,73.89,18.18,1008.91,17.95
12:06:54.642,73.66,18.1,1008.95,17.97
12:06:55.673,73.64,18.14,1008.98,17.97
12:06:56.660,73.66,18.19,1008.93,17.97
12:06:57.692,73.7,18.14,1008.95,17.97
12:06:58.720,73.64,18.16,1008.91,17.96
12:06:59.749,73.61,18.12,1008.91,17.97
12:07:00.780,73.59,18.14,1008.94,17.97
12:07:01.811,73.52,18.16,1008.91,17.98
12:07:02.795,73.69,18.16,1008.96,17.98
12:07:03.826,73.56,18.16,1008.93,17.96
12:07:04.858,73.5,18.1,1008.92,17.96
12:07:05.891,73.5,18.1,1008.88,17.97
12:07:06.922,73.46,18.14,1008.9,17.98
12:07:07.903,73.45,18.18,1008.92,17.97
12:07:08.934,73.37,18.18,1008.98,17.96
12:07:09.963,73.48,18.14,1008.92,17.96
12:07:10.998,73.35,18.14,1008.92,17.97
12:07:12.027,73.33,18.14,1008.93,17.95
12:07:13.053,73.38,18.14,1008.94,17.95
12:07:14.082,73.52,18.12,1008.94,17.96
12:07:15.065,73.4,18.1,1008.93,17.96
12:07:16.099,73.38,18.14,1008.93,17.95
12:07:17.131,73.23,18.16,1008.91,17.94
12:07:18.161,73.32,18.14,1008.93,17.94
12:07:19.194,73.33,18.12,1008.95,17.95
12:07:20.223,73.41,18.16,1008.92,17.96
12:07:21.210,73.35,18.18,1008.94,17.96
12:07:22.244,73.38,18.1,1008.92,17.95
12:07:23.278,73.41,18.19,1008.93,17.95
